iter	Passed	Remaining
0	160	159932
1	160	80259
2	161	53673
3	162	40455
4	163	32568
5	164	27247
6	165	23408
7	165	20527
8	166	18293
9	166	16519
10	167	15063
11	168	13855
12	169	12832
13	169	11952
14	170	11189
15	170	10512
16	171	9922
17	172	9411
18	173	8944
19	174	8526
20	174	8151
21	175	7808
22	176	7494
23	177	7198
24	177	6940
25	178	6695
26	179	6464
27	179	6246
28	180	6043
29	181	5853
30	181	5675
31	182	5509
32	182	5354
33	183	5206
34	183	5067
35	184	4936
36	184	4811
37	185	4692
38	185	4580
39	186	4474
40	186	4373
41	187	4277
42	188	4184
43	188	4096
44	189	4011
45	189	3930
46	190	3852
47	190	3779
48	191	3712
49	192	3650
50	192	3590
51	193	3532
52	194	3471
53	194	3413
54	195	3356
55	195	3302
56	196	3248
57	196	3197
58	197	3149
59	197	3100
60	198	3055
61	199	3010
62	199	2967
63	199	2924
64	200	2883
65	200	2844
66	201	2804
67	201	2768
68	202	2732
69	203	2697
70	203	2662
71	204	2629
72	204	2597
73	205	2565
74	205	2534
75	206	2506
76	207	2483
77	207	2456
78	208	2429
79	208	2402
80	209	2375
81	209	2350
82	210	2322
83	210	2297
84	211	2274
85	211	2250
86	212	2227
87	212	2205
88	213	2184
89	214	2163
90	214	2143
91	215	2123
92	215	2103
93	216	2085
94	216	2065
95	217	2046
96	217	2027
97	218	2009
98	218	1991
99	219	1974
100	219	1956
101	220	1940
102	221	1926
103	221	1912
104	222	1898
105	223	1882
106	223	1869
107	224	1854
108	225	1840
109	225	1826
110	226	1814
111	227	1800
112	227	1787
113	228	1773
114	228	1760
115	229	1746
116	229	1733
117	230	1720
118	230	1707
119	231	1695
120	231	1683
121	232	1670
122	232	1658
123	233	1647
124	233	1636
125	234	1625
126	235	1615
127	235	1605
128	236	1595
129	237	1587
130	238	1579
131	238	1569
132	239	1559
133	239	1549
134	240	1540
135	240	1530
136	241	1521
137	242	1512
138	242	1502
139	243	1494
140	243	1486
141	244	1476
142	245	1469
143	245	1460
144	246	1452
145	246	1444
146	247	1436
147	248	1428
148	248	1419
149	249	1412
150	249	1404
151	250	1397
152	251	1390
153	251	1383
154	252	1377
155	253	1370
156	253	1363
157	254	1356
158	255	1349
159	255	1342
160	255	1334
161	256	1327
162	257	1320
163	257	1313
164	258	1306
165	258	1300
166	259	1293
167	259	1287
168	260	1280
169	260	1274
170	261	1267
171	262	1261
172	262	1255
173	263	1249
174	263	1243
175	264	1237
176	265	1232
177	265	1226
178	266	1220
179	266	1215
180	267	1210
181	268	1205
182	268	1199
183	269	1194
184	269	1189
185	270	1183
186	271	1178
187	271	1173
188	272	1168
189	272	1162
190	273	1157
191	273	1152
192	274	1147
193	275	1142
194	275	1139
195	276	1135
196	277	1131
197	278	1126
198	278	1121
199	279	1117
200	279	1112
201	280	1107
202	281	1103
203	281	1099
204	282	1095
205	283	1091
206	283	1087
207	284	1083
208	285	1079
209	285	1075
210	286	1070
211	286	1066
212	287	1062
213	288	1058
214	288	1054
215	289	1051
216	290	1047
217	290	1043
218	291	1039
219	292	1035
220	292	1031
221	293	1027
222	293	1023
223	294	1019
224	294	1016
225	295	1013
226	296	1009
227	297	1008
228	298	1004
229	298	1000
230	299	997
231	300	993
232	301	991
233	301	988
234	302	985
235	303	981
236	303	977
237	304	974
